iter	Passed	Remaining
619	64054	39259
620	64187	39174
621	64330	39094
622	64463	39008
623	64642	38950
624	64769	38861
625	64903	38775
626	65007	38672
627	65123	38576
628	65219	38468
629	65317	38360
630	65420	38256
631	65522	38152
632	65636	38054
633	65737	37949
634	65846	37849
635	65973	37758
636	66083	37658
637	66220	37573
638	66325	37470
639	66432	37368
640	66540	37266
641	66655	37169
642	66753	37062
643	66853	36956
644	66949	36848
645	67048	36741
646	67172	36649
647	67278	36546
648	67384	36443
649	67479	36335
650	67602	36241
651	67701	36135
652	67800	36028
653	67948	35948
654	68045	35840
655	68162	35743
656	68323	35669
657	68477	35591
658	68603	35498
659	68708	35395
660	68809	35289
661	68913	35185
662	69032	35088
663	69222	35028
664	69354	34937
665	69480	34844
666	69649	34772
667	69775	34678
668	69901	34585
669	70019	34486
670	70123	34382
671	70243	34285
672	70347	34180
673	70467	34083
674	70600	33992
675	70746	33908
676	70875	33815
677	71008	33723
678	71111	33618
679	71207	33509
680	71303	33400
681	71409	33296
682	71514	33191
683	71633	33093
684	71737	32988
685	71835	32880
686	71963	32786
687	72061	32678
688	72178	32579
689	72285	32476
690	72401	32376
691	72524	32279
692	72639	32179
693	72739	32072
694	72838	31965
695	72948	31862
696	73050	31756
697	73154	31651
698	73248	31541
699	73357	31438
700	73470	31337
701	73624	31253
702	73755	31159
703	73901	31072
704	74036	30979
705	74164	30884
706	74295	30790
707	74405	30686
708	74524	30587
709	74659	30494
710	74766	30390
711	74866	30282
712	74966	30176
713	75065	30068
714	75167	29961
715	75270	29855
716	75383	29753
717	75506	29655
718	75620	29554
719	75724	29448
720	75825	29341
721	75945	29242
722	76055	29138
723	76156	29032
724	76279	28933
725	76399	28833
726	76514	28732
727	76630	28631
728	76735	28525
729	76832	28417
730	76942	28313
731	77043	28207
732	77152	28103
733	77253	27996
734	77354	27889
735	77459	27784
736	77582	27685
737	77693	27582
738	77800	27477
739	77933	27381
740	78036	27275
741	78144	27171
742	78283	27078
743	78410	26980
744	78542	26883
745	78706	26798
746	78833	26699
747	78953	26599
748	79066	26496
749	79186	26395
750	79319	26299
751	79440	26198
752	79563	26098
753	79669	25992
754	79789	25892
755	79930	25797
756	80114	25717
757	80256	25622
758	80372	25520
759	80479	25414
760	80614	25317
761	80724	25213
762	80823	25105
763	80925	24998
764	81027	24890
765	81130	24783
766	81231	24676
767	81328	24568
768	81430	24460
769	81551	24359
770	81656	24253
771	81757	24145
772	81856	24038
773	82004	23944
774	82104	23836
775	82220	23733
776	82340	23631
777	82438	23523
778	82570	23424
779	82675	23318
780	82782	23212
781	82891	23107
782	83013	23006
783	83121	22900
784	83230	22795
785	83329	22687
786	83476	22592
787	83625	22498
788	83745	22395
789	83907	22304
790	84068	22212
791	84226	22120
792	84349	22018
793	84449	21910
794	84573	21808
795	84673	21700
796	84774	21592
797	84875	21484
798	84990	21380
799	85095	21273
800	85235	21175
801	85332	21067
802	85439	20960
803	85570	20860
804	85671	20752
805	85773	20645
806	85873	20537
807	86031	20443
808	86134	20335
809	86256	20232
810	86357	20125
